fda_id,address
3792,"905 DIXWELL AVENUE, HAMDEN, CT 06514"
3793,"19 CARROLL PLAZA SHOPPING CENTER, WESTMINSTER, MD 21157"
3794,"935 EAST STATE ROAD 60, PEKIN, IN 47165"
3795,"1035 STATE HIGHWAY 15 SOUTH, NEW ALBANY, MS 38652"
3796,"5817 SOUTH 16TH STREET, PHOENIX, AZ 85040"
3797,"12450 LAGRANGE ROAD, LOUISVILLE, KY 40245"
3798,"404 SOUTH MAIN STREET, JACKSBORO, TX 76458"
3799,"202 NORTH MAIN STREET, SEYMOUR, TX 76380"
3800,"4519 MANCHESTER AVE, ST LOUIS, MO 63110"
3801,"105 JOE BROWN DRIVE, RATLIFF CITY, OK 73481"
3802,"ROUTE  186, BIRCH HARBOR, ME 04613"
3803,"10640  WARRENSBURG   ROAD, MIDWAY, TN 37809"
3804,"14193 CHIWAWA LOOP ROAD, LEAVENWORTH, WA 98826"
3805,"7639 NORTHWEST LOOP 410, SAN ANTONIO, TX 78245"
3806,"10161 HIGHWAY 76, HEALDTON, OK 73438"
3807,"60 HILLSIDE AVENUE, HILLSIDE, NJ 07205"
3808,"3710 KITSAP WAY, BREMERTON, WA 98312"
3809,"7860 NORWALK BLVD, WHITTIER, CA 90606"
3810,"1133 MONMOUTH ROAD, DECATUR, IN 46733"
3811,"7266 HIGHWAY 472, MANCHESTER, KY 40962"
3812,"2 BROAD ST, NEW FREEDOM, PA 17349"
3813,"6138 FARM TO MARKET 1954, WICHITA FALLS, TX 76310"
3814,"8802 SOUTH CENTRAL AVENUE, PHOENIX, AZ 85042"
3815,"6358 OLD PEARSALL ROAD, SAN ANTONIO, TX 78242"
3816,"101 MERLOT DRIVE, PROSSER, WA 99350"
3817,"708 SOUTHWEST GAGE BOULEVARD, TOPEKA, KS 66606"
3818,"3707 SOUTH KINGSHIGHWAY BOULEVARD, SAINT LOUIS, MO 63109"
3819,"42590 US HIGHWAY 72, STEVENSON, AL 35772"
3820,"2 MARYLAND PLAZA, ST LOUIS, MO 63108"
3821,"366 SOUTH SIDE SQUARE, CARLINVILLE, IL 62626"
3822,"4781 EAST ROCKTON ROAD, ROSCOE, IL 61073"
3823,"8103 CREEKBEND DRIVE, HOUSTON, TX 77071"
